,Unnamed: 0,Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloguer_mitja,Preu
105,105,2014,2,7,Horta-Guinardó,33,el Baix Guinardó,Lloguer mitjà mensual (Euros/mes),"610,87"
106,106,2014,2,7,Horta-Guinardó,34,Can Baró,Lloguer mitjà mensual (Euros/mes),"525,04"
107,107,2014,2,7,Horta-Guinardó,35,el Guinardó,Lloguer mitjà mensual (Euros/mes),"564,1"
108,108,2014,2,7,Horta-Guinardó,36,la Font d'en Fargues,Lloguer mitjà mensual (Euros/mes),"772,41"
109,109,2014,2,7,Horta-Guinardó,37,el Carmel,Lloguer mitjà mensual (Euros/mes),"495,01"
110,110,2014,2,7,Horta-Guinardó,38,la Teixonera,Lloguer mitjà mensual (Euros/mes),"476,94"
111,111,2014,2,7,Horta-Guinardó,39,Sant Genís dels Agudells,Lloguer mitjà mensual (Euros/mes),"568,75"
112,112,2014,2,7,Horta-Guinardó,40,Montbau,Lloguer mitjà mensual (Euros/mes),"535,88"
113,113,2014,2,7,Horta-Guinardó,41,la Vall d'Hebron,Lloguer mitjà mensual (Euros/mes),"675,63"
114,114,2014,2,7,Horta-Guinardó,42,la Clota,Lloguer mitjà mensual (Euros/mes),Unknown
115,115,2014,2,7,Horta-Guinardó,43,Horta,Lloguer mitjà mensual (Euros/mes),"566,67"
116,116,2014,2,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Lloguer mitjà mensual (Euros/mes),"573,24"
117,117,2014,2,8,Nou Barris,45,Porta,Lloguer mitjà mensual (Euros/mes),"517,06"
118,118,2014,2,8,Nou Barris,46,el Turó de la Peira,Lloguer mitjà mensual (Euros/mes),"461,25"
119,119,2014,2,8,Nou Barris,47,Can Peguera,Lloguer mitjà mensual (Euros/mes),"295,39"
120,120,2014,2,8,Nou Barris,48,la Guineueta,Lloguer mitjà mensual (Euros/mes),"613,14"
121,121,2014,2,8,Nou Barris,49,Canyelles,Lloguer mitjà mensual (Euros/mes),"474,29"
122,122,2014,2,8,Nou Barris,50,les Roquetes,Lloguer mitjà mensual (Euros/mes),"448,6"
123,123,2014,2,8,Nou Barris,51,Verdun,Lloguer mitjà mensual (Euros/mes),"465,56"
124,124,2014,2,8,Nou Barris,52,la Prosperitat,Lloguer mitjà mensual (Euros/mes),"501,4"
125,125,2014,2,8,Nou Barris,53,la Trinitat Nova,Lloguer mitjà mensual (Euros/mes),"449,31"
126,126,2014,2,8,Nou Barris,54,Torre Baró,Lloguer mitjà mensual (Euros/mes),"320,21"
127,127,2014,2,8,Nou Barris,55,Ciutat Meridiana,Lloguer mitjà mensual (Euros/mes),"406,17"
128,128,2014,2,8,Nou Barris,56,Vallbona,Lloguer mitjà mensual (Euros/mes),Unknown
129,129,2014,2,9,Sant Andreu,57,la Trinitat Vella,Lloguer mitjà mensual (Euros/mes),"407,26"
130,130,2014,2,9,Sant Andreu,58,Baró de Viver,Lloguer mitjà mensual (Euros/mes),"231,4"
131,131,2014,2,9,Sant Andreu,59,el Bon Pastor,Lloguer mitjà mensual (Euros/mes),"476,31"
132,132,2014,2,9,Sant Andreu,60,Sant Andreu,Lloguer mitjà mensual (Euros/mes),"573,12"
133,133,2014,2,9,Sant Andreu,61,la Sagrera,Lloguer mitjà mensual (Euros/mes),"622,71"
134,134,2014,2,9,Sant Andreu,62,el Congrés i els Indians,Lloguer mitjà mensual (Euros/mes),"556,26"
135,135,2014,2,9,Sant Andreu,63,Navas,Lloguer mitjà mensual (Euros/mes),"590,17"
136,136,2014,2,10,Sant Martí,64,el Camp de l'Arpa del Clot,Lloguer mitjà mensual (Euros/mes),"592,63"
137,137,2014,2,10,Sant Martí,65,el Clot,Lloguer mitjà mensual (Euros/mes),"641,11"
138,138,2014,2,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Lloguer mitjà mensual (Euros/mes),"678,23"
139,139,2014,2,10,Sant Martí,67,la Vila Olímpica del Poblenou,Lloguer mitjà mensual (Euros/mes),"988,89"
140,140,2014,2,10,Sant Martí,68,el Poblenou,Lloguer mitjà mensual (Euros/mes),"644,01"
141,141,2014,2,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Lloguer mitjà mensual (Euros/mes),"817,93"
142,142,2014,2,10,Sant Martí,70,el Besòs i el Maresme,Lloguer mitjà mensual (Euros/mes),"480,69"
143,143,2014,2,10,Sant Martí,71,Provençals del Poblenou,Lloguer mitjà mensual (Euros/mes),"643,46"
